episode,return,mean_error,tunnel_error,q_scale,r_scale,steps,tunnel_steps,duration_s,lstm_used
123,186.308,1.8778,1.8778,2.9452,0.1228,207,207,4.94,True
124,-870.04,49.8239,49.8239,2.9249,0.1228,315,315,7.02,True
125,-467.805,19.2759,38.8142,2.9106,0.1355,500,230,7.46,True
126,-469.435,18.0852,36.265,2.9217,0.1216,500,230,8.2,True
127,-514.984,35.7469,35.7469,2.9256,0.1236,215,215,4.42,True
128,-459.792,17.9069,36.1153,2.9466,0.138,500,230,8.05,True
129,-911.804,49.4208,49.4208,2.9578,0.1378,332,332,7.46,True
130,193.465,1.9489,1.9489,2.9628,0.1405,220,220,5.23,True
131,-869.65,49.6812,49.6812,2.9649,0.1294,315,315,6.23,True
132,-872.52,49.7059,49.7059,2.9674,0.1232,316,316,7.02,True
133,15.214,7.1025,26.3657,2.9486,0.1311,500,110,6.27,True
134,-26.901,7.662,26.1077,2.9462,0.1377,500,126,7.08,True
135,-855.092,31.7349,44.4147,2.95,0.1298,500,343,8.71,True
136,-971.711,51.577,51.577,2.9745,0.1253,349,349,7.86,True
137,-26.258,5.2295,5.2295,2.9701,0.1282,500,500,10.64,True
138,-470.465,18.0688,36.2833,2.9403,0.1305,500,230,8.15,True
139,-200.844,14.0413,43.8545,2.9555,0.135,500,139,7.3,True
140,-465.568,18.091,36.3914,2.9384,0.1353,500,230,9.39,True
141,-878.754,50.0377,50.0377,2.9293,0.122,318,318,9.95,True
142,84.258,4.1967,4.556,2.9477,0.1449,500,400,13.7,True
143,-872.432,49.7094,49.7094,2.9345,0.1298,316,316,7.39,True
144,-872.561,49.7094,49.7094,2.9538,0.1342,316,316,7.07,True
145,-833.053,30.642,43.6793,2.9564,0.1275,500,338,10.71,True
146,-872.758,49.7804,49.7804,2.9685,0.1393,316,316,7.75,True
147,-462.571,18.0186,36.3194,2.9251,0.157,500,230,8.77,True
148,-872.609,49.7093,49.7093,2.9468,0.1353,316,316,7.44,True
149,-346.962,45.3061,45.3061,2.9389,0.1197,138,138,4.23,True
150,-67.057,5.4283,5.4283,2.9605,0.1205,500,500,14.11,True
